plant,strain,dataset_year,field,plot,nitrogen,plantsp,harvester,chloro,nodnum,meannodweight,shootmass,fert
8,729,2018,1,1C,Control,T. hybridum,JL,NA,13,0.0522,0.0031,0 N
11,3,2018,6,6C,Control,T. repens,MH,41.6,7,2.2606,0.0664,0 N
12,3,2018,6,6C,Control,T. repens,CA,11.3,0,0,0.0022,0 N
14,493,2018,5,5C,Control,T. pratense,JL,38.6,16,1.8409,0.0754,0 N
15,901,2018,2,2C,Control,T. repens,JL,44.9,35,0.3957,0.1533,0 N
17,493,2018,5,5C,Control,T. pratense,SJ,43.7,25,1.0435,0.1533,0 N
28,100,2018,5,5C,Control,T. hybridum,JL,41.4,18,0.4782,0.1139,0 N
35,415,2018,3,3C,Control,T. repens,JL,38.7,53,0.0485,0.0738,0 N
56,559,2018,4,4C,Control,T. pratense,TG,30.1,37,0.1197,0.0187,0 N
62,499,2018,3,3C,Control,T. pratense,TG,34.2,2,1.467,0.0365,0 N
63,758,2018,1,1C,Control,T. repens,JL,37.6,13,0.1086,0.0333,0 N
72,493,2018,5,5C,Control,T. pratense,SJ,42.8,6,0.4937,0.0583,0 N
76,861,2018,5,5C,Control,T. repens,SJ,43.3,8,0.256,0.0733,0 N
80,228,2018,1,1C,Control,T. pratense,MH,43.4,470,0.0565,0.2771,0 N
83,901,2018,2,2C,Control,T. repens,MH,38.4,9,0.6577,0.1096,0 N
92,325,2018,4,4C,Control,T. repens,MH,20,20,0.3143,0.0262,0 N
100,758,2018,1,1C,Control,T. repens,SJ,24.8,23,0.5547,0.0368,0 N
101,758,2018,1,1C,Control,T. repens,CA,39.7,31,0.167,0.0355,0 N
118,837,2018,3,3C,Control,T. hybridum,SJ,31.6,10,0.1535,0.0188,0 N
120,438,2018,4,4C,Control,T. hybridum,SJ,28,25,0.2569,0.024,0 N
131,726,2018,6,6C,Control,T. hybridum,SC,46.9,0,0,0.0495,0 N
139,706,2018,4,4C,Control,T. hybridum,CA,38.4,32,0.9957,0.2194,0 N
149,108,2018,3,3C,Control,T. hybridum,SC,42.5,29,0.2303,0.0902,0 N
155,461,2018,2,2C,Control,T. hybridum,SC,NA,4,0.5595,0.0033,0 N
157,461,2018,2,2C,Control,T. hybridum,JL,46.3,11,0.6665,0.0337,0 N
177,461,2018,2,2C,Control,T. hybridum,SJ,25.7,11,0.8507,0.0218,0 N
186,636,2018,1,1C,Control,T. repens,JL,17.4,23,0.0841,0.0127,0 N
190,499,2018,3,3C,Control,T. pratense,JL,41.1,13,1.9941,0.1068,0 N
193,636,2018,1,1C,Control,T. repens,JL,47.1,30,0.6344,0.1482,0 N
204,462,2018,5,5C,Control,T. hybridum,JL,39.8,36,1.1302,0.1595,0 N
214,160,2018,5,5C,Control,T. pratense,SJ,38.6,18,0.4253,0.1328,0 N
231,729,2018,1,1C,Control,T. hybridum,SJ,33.4,5,0.1558,0.0144,0 N
233,461,2018,2,2C,Control,T. hybridum,MH,35.1,10,0.1088,0.1525,0 N
235,636,2018,1,1C,Control,T. repens,MH,46.9,2,0.038,0.1057,0 N
237,460,2018,3,3C,Control,T. repens,SJ,41.5,34,0.1697,0.1498,0 N
240,837,2018,3,3C,Control,T. hybridum,SJ,34.4,10,0.3763,0.0478,0 N
244,627,2018,6,6C,Control,T. repens,MH,37,13,1.1182,0.0728,0 N
245,180,2018,5,5C,Control,T. repens,MH,45.4,180,0.0457,0.2266,0 N
250,706,2018,4,4C,Control,T. hybridum,CA,29.4,0,0,0.0045,0 N
252,726,2018,6,6C,Control,T. hybridum,SJ,38.7,3,1.0427,0.0603,0 N
258,228,2018,1,1C,Control,T. pratense,SJ,47.5,11,0.0206,0.1716,0 N
264,344,2018,6,6C,Control,T. pratense,SJ,41.7,3,0.0077,0.2034,0 N
267,559,2018,4,4C,Control,T. pratense,SJ,33.1,20,1.1772,0.0523,0 N
285,726,2018,6,6C,Control,T. hybridum,SJ,44.6,0,0,0.0309,0 N
289,3,2018,6,6C,Control,T. repens,JL,27.4,8,0.8476,0.0223,0 N
290,3,2018,6,6C,Control,T. repens,NA,NA,NA,NA,0.023,0 N
292,499,2018,3,3C,Control,T. pratense,SJ,45.4,39,0.0585,0.1943,0 N
314,50,2018,1,1C,Control,T. pratense,CA,30.6,24,0.0895,0.026,0 N
320,145,2018,3,3C,Control,T. pratense,JL,47.2,24,2.1382,0.1381,0 N
321,308,2018,6,6C,Control,T. pratense,JL,49.3,18,0.4356,0.0712,0 N
329,499,2018,3,3C,Control,T. pratense,SJ,40.3,20,0.7735,0.2559,0 N
334,901,2018,2,2C,Control,T. repens,SJ,38.5,5,0.0312,0.0376,0 N
339,636,2018,1,1C,Control,T. repens,CA,48.9,18,0.2651,0.1143,0 N
346,499,2018,3,3C,Control,T. pratense,MH,42.4,4,0.1475,0.1329,0 N
362,74,2018,1,1C,Control,T. hybridum,TG,39.1,48,0.2061,0.1595,0 N
379,462,2018,5,5C,Control,T. hybridum,TG,44.4,16,0.3016,0.0614,0 N
391,438,2018,4,4C,Control,T. hybridum,MH,40.8,85,0.2605,0.1895,0 N
394,449,2018,2,2C,Control,T. hybridum,MH,32.9,130,0.5054,0.231,0 N
396,706,2018,4,4C,Control,T. hybridum,MH,41,12,0.84,0.0463,0 N
401,726,2018,6,6C,Control,T. hybridum,SJ,41.7,6,0.8578,0.1099,0 N
404,438,2018,4,4C,Control,T. hybridum,SJ,29.4,14,0.134,0.0454,0 N
406,627,2018,6,6C,Control,T. repens,TG,36.7,34,0.7386,0.1997,0 N
407,113,2018,6,6C,Control,T. hybridum,TG,29.2,33,0.6325,0.0276,0 N
410,308,2018,6,6C,Control,T. pratense,TG,29.7,5,0.3018,0.0108,0 N
418,180,2018,5,5C,Control,T. repens,CA,25.7,15,0.2364,0.0122,0 N
422,861,2018,5,5C,Control,T. repens,TG,41.6,11,1.1766,0.0697,0 N
445,3,2018,6,6C,Control,T. repens,JL,27.1,116,0.1562,0.1911,0 N
458,180,2018,5,5C,Control,T. repens,JL,19.1,116,0.2096,0.0378,0 N
459,837,2018,3,3C,Control,T. hybridum,JL,16.5,32,0.8324,0.0379,0 N
460,837,2018,3,3C,Control,T. hybridum,CA,30.9,36,0.2793,0.018,0 N
474,3,2018,6,6C,Control,T. repens,JL,32.2,64,0.1374,0.2945,0 N
478,837,2018,3,3C,Control,T. hybridum,JL,36,100,0.4778,0.1656,0 N
481,108,2018,3,3C,Control,T. hybridum,JL,22.8,31,0.6477,0.0243,0 N
486,160,2018,5,5C,Control,T. pratense,JL,39.3,8,0.5641,0.046,0 N
487,438,2018,4,4C,Control,T. hybridum,CA,34.1,12,0.3495,0.0175,0 N
492,74,2018,1,1C,Control,T. hybridum,JL,37.9,18,0.7936,0.0446,0 N
495,113,2018,6,6C,Control,T. hybridum,JL,45.2,83,0.3658,0.2009,0 N
506,636,2018,1,1C,Control,T. repens,TG,34.1,21,0.9616,0.0394,0 N
511,344,2018,6,6C,Control,T. pratense,TG,40.3,71,0.2116,0.245,0 N
512,180,2018,5,5C,Control,T. repens,TG,53.1,87,0.0742,0.1359,0 N
525,228,2018,1,1C,Control,T. pratense,TG,39,16,1.193,0.0648,0 N
534,228,2018,1,1C,Control,T. pratense,SJ,41.9,84,0.037,0.1856,0 N
538,758,2018,1,1C,Control,T. repens,TG,33.8,32,0.3901,0.0316,0 N
541,160,2018,5,5C,Control,T. pratense,TG,38.7,21,0.7582,0.0442,0 N
542,100,2018,5,5C,Control,T. hybridum,TG,38.6,23,1.0865,0.1072,0 N
554,318,2018,2,2C,Control,T. pratense,NA,NA,NA,NA,NA,0 N
555,706,2018,4,4C,Control,T. hybridum,JL,48.1,81,0.6288,0.2232,0 N
559,460,2018,3,3C,Control,T. repens,SJ,39.3,26,0.213,0.0303,0 N
572,493,2018,5,5C,Control,T. pratense,JL,27.5,6,2.2713,0.0425,0 N
575,100,2018,5,5C,Control,T. hybridum,JL,41.9,57,1.4241,0.3252,0 N
576,100,2018,5,5C,Control,T. hybridum,CA,24.6,13,0.099,0.0654,0 N
587,228,2018,1,1C,Control,T. pratense,JL,10.5,14,0.1952,0.016,0 N
591,113,2018,6,6C,Control,T. hybridum,JL,41.8,24,0.2329,0.1368,0 N
608,100,2018,5,5C,Control,T. hybridum,MH,37.7,15,0.1976,0.1929,0 N
615,861,2018,5,5C,Control,T. repens,SJ,23.4,45,0.7963,0.1034,0 N
629,559,2018,4,4C,Control,T. pratense,MJH,37.8,23,0.0294,0.0911,0 N
632,325,2018,4,4C,Control,T. repens,SJ,36.6,35,0.0674,0.2185,0 N
633,173,2018,2,2C,Control,T. repens,MJH,39.2,90,0.1375,0.3211,0 N
638,901,2018,2,2C,Control,T. repens,MJH,37.7,48,0.1804,0.0294,0 N
645,74,2018,1,1C,Control,T. hybridum,SJ,38.7,2,0.896,0.0642,0 N
647,160,2018,5,5C,Control,T. pratense,MJH,12.8,7,0.1789,0.0146,0 N
648,308,2018,6,6C,Control,T. pratense,SJ,NA,19,0.0571,0.0118,0 N
650,499,2018,3,3C,Control,T. pratense,CA,47.3,16,0.2154,0.1905,0 N
666,325,2018,4,4C,Control,T. repens,MH,41.3,90,0.3428,0.2015,0 N
685,173,2018,2,2C,Control,T. repens,SJ,35.9,23,0.5078,0.1528,0 N
690,461,2018,2,2C,Control,T. hybridum,SJ,33.1,8,0.0208,0.0499,0 N
703,145,2018,3,3C,Control,T. pratense,NA,29,NA,NA,NA,0 N
704,861,2018,5,5C,Control,T. repens,SJ,33,18,0.3686,0.2172,0 N
717,74,2018,1,1C,Control,T. hybridum,MH,49.2,22,1.6959,0.4622,0 N
728,493,2018,5,5C,Control,T. pratense,MH,48.4,7,0.9817,0.04,0 N
737,415,2018,3,3C,Control,T. repens,MH,NA,NA,NA,0.0039,0 N
750,318,2018,2,2C,Control,T. pratense,MH,NA,NA,NA,NA,0 N
753,729,2018,1,1C,Control,T. hybridum,NA,NA,NA,NA,NA,0 N
755,627,2018,6,6C,Control,T. repens,MH,45.6,45,0.1348,0.2118,0 N
756,180,2018,5,5C,Control,T. repens,MH,NA,NA,NA,NA,0 N
759,145,2018,3,3C,Control,T. pratense,MH,38.9,45,0.416,0.2332,0 N
768,173,2008,2,2A,Control,T. repens,CPT,45.8,64,0.0002375,0.15,0 N
769,559,2008,4,4A,Control,T. hybridum,CPT,36.3,1,NA,0.06,0 N
778,726,2008,6,6A,Control,T. hybridum,TB,45.4,49,0.000212245,0.32,0 N
779,145,2008,3,3A,Control,T. hybridum,JL,29.2,0,NA,0.12,0 N
780,493,2008,5,5A,Control,T. repens,JL,43.6,28,0.000257143,0.08,0 N
783,110,2008,4,4A,Control,T. pratense,JL,35.8,99,0.000177778,0.31,0 N
784,901,2008,2,2A,Control,T. hybridum,JL,46.1,41,0.000431707,0.17,0 N
786,228,2008,1,1A,Control,T. hybridum,JL,29.5,60,6.17E-05,0.16,0 N
787,50,2008,1,1A,Control,T. repens,JL,44.2,64,0.000160938,0.14,0 N
790,3,2008,6,6A,Control,T. repens,JL,38.8,73,0.000454795,0.37,0 N
793,3,2008,6,6A,Control,T. hybridum,JJ,35.7,36,0.000225,0.12,0 N
795,113,2008,6,6A,Control,T. repens,CPT,43.5,105,8.10E-05,0.24,0 N
797,318,2008,2,2A,Control,T. hybridum,JL,50.2,87,0.000254023,0.44,0 N
802,861,2008,5,5A,Control,T. pratense,JL,50.5,107,0.000388785,0.34,0 N
804,627,2008,6,6A,Control,T. hybridum,TB,44.5,64,0.000282813,0.32,0 N
805,493,2008,5,5A,Control,T. pratense,JJ,53.3,40,0.00036,0.46,0 N
814,50,2008,1,1A,Control,T. pratense,JL,44.8,258,0.000146899,0.22,0 N
830,145,2008,3,3A,Control,T. pratense,CPT,53.3,66,0.00030303,0.75,0 N
831,415,2008,3,3A,Control,T. repens,TB,51.1,60,0.000155,0.34,0 N
832,110,2008,4,4A,Control,T. hybridum,MH,43.7,62,7.26E-05,0.38,0 N
833,308,2008,6,6A,Control,T. pratense,MH,49.9,76,0.000121053,0.28,0 N
835,559,2008,4,4A,Control,T. pratense,CPT,43.2,31,0.001096774,0.3,0 N
838,729,2008,1,1A,Control,T. hybridum,MH,19,55,0.000205455,0.13,0 N
841,108,2008,3,3A,Control,T. pratense,CPT,50.3,56,0.000178571,0.59,0 N
843,145,2008,3,3A,Control,T. repens,DW,49.4,112,0.000199107,0.26,0 N
847,100,2008,5,5A,Control,T. pratense,JL,44.8,124,0.000184677,0.22,0 N
849,729,2008,1,1A,Control,T. hybridum,MH,26.7,388,2.99E-05,0.13,0 N
859,228,2008,1,1A,Control,T. hybridum,JL,52.2,24,5.83E-05,0.46,0 N
860,559,2008,4,4A,Control,T. hybridum,JL,37,3,0.001,0.21,0 N
863,113,2008,6,6A,Control,T. pratense,CPT,43.8,195,6.10E-05,0.25,0 N
865,308,2008,6,6A,Control,T. repens,JL,51.3,48,0.000335417,0.4,0 N
867,3,2008,6,6A,Control,T. repens,DW,55.8,41,0.000502439,0.35,0 N
877,438,2008,4,4A,Control,T. pratense,JL,33.5,114,0.000401754,0.18,0 N
878,462,2008,5,5A,Control,T. repens,DW,45.7,93,0.000294624,1.5,0 N
880,108,2008,3,3A,Control,T. repens,JL,51.7,79,0.000435443,0.7,0 N
883,228,2008,1,1A,Control,T. repens,JL,46.7,41,0.000468293,0.55,0 N
885,50,2008,1,1A,Control,T. pratense,JL,44.7,202,0.000446535,0.48,0 N
890,460,2008,3,3A,Control,T. hybridum,JL,42.8,190,0.000265263,0.22,0 N
891,344,2008,6,6A,Control,T. repens,JL,51.7,118,0.000254237,0.54,0 N
893,493,2008,5,5A,Control,T. repens,JL,45.4,37,0.001132432,0.65,0 N
902,3,2008,6,6A,Control,T. hybridum,JL,5.9,1,5.00E-05,0.07,0 N
905,110,2008,4,4A,Control,T. pratense,JL,55.7,159,0.000315094,0.81,0 N
907,110,2008,4,4A,Control,T. repens,MH,49.6,400,0.0001875,0.58,0 N
909,559,2008,4,4A,Control,T. hybridum,JL,NA,2,0.00105,0.13,0 N
910,3,2008,6,6A,Control,T. pratense,JL,45.5,37,0.001108108,0.33,0 N
911,449,2008,2,2A,Control,T. repens,ES,26,1010,2.41E-05,0.28,0 N
913,462,2008,5,5A,Control,T. pratense,ES,50.3,86,5.23E-05,0.63,0 N
917,108,2008,3,3A,Control,T. pratense,JL,46.3,240,0.000236,0.3,0 N
922,318,2008,2,2A,Control,T. pratense,DW,40.8,127,0.000376364,0.61,0 N
923,837,2008,3,3A,Control,T. repens,DW,44.1,186,0.000258252,0.42,0 N
926,460,2008,3,3A,Control,T. hybridum,MH,NA,547,0.000298,0.73,0 N
937,344,2008,6,6A,Control,T. hybridum,DW,18.4,372,1.88E-05,0.18,0 N
941,173,2008,2,2A,Control,T. repens,DW,43.9,283,0.000412381,0.81,0 N
945,706,2008,4,4A,Control,T. pratense,MH,54.8,378,9.88E-05,0.73,0 N
949,729,2008,1,1A,Control,T. hybridum,JL,21.4,156,0.000141,0.08,0 N
953,499,2008,3,3A,Control,T. hybridum,JL,48.3,65,0.000544615,0.84,0 N
961,325,2008,4,4A,Control,T. repens,DW,55.7,94,0.000340426,0.56,0 N
966,559,2008,4,4A,Control,T. repens,DW,33.1,122,0.00040098,0.17,0 N
971,100,2008,5,5A,Control,T. pratense,JL,52,205,0.000401,1.3,0 N
974,758,2008,1,1A,Control,T. hybridum,JL,41.7,66,0.00024697,0.58,0 N
980,460,2008,3,3A,Control,T. pratense,JL,37.4,255,0.000455,0.41,0 N
981,758,2008,1,1A,Control,T. hybridum,JL,49,175,0.000328,0.37,0 N
985,100,2008,5,5A,Control,T. pratense,DW,50.3,407,0.00040297,0.96,0 N
993,325,2008,4,4A,Control,T. hybridum,DW,47.1,368,0.000309709,0.81,0 N
995,308,2008,6,6A,Control,T. repens,JL,46.5,73,0.000352055,0.54,0 N
996,145,2008,3,3A,Control,T. pratense,JL,44.8,96,0.00049375,0.7,0 N
1004,100,2008,5,5A,Control,T. hybridum,JL,40.5,92,0.000443478,0.48,0 N
1005,50,2008,1,1A,Control,T. repens,JL,45,105,0.000288571,0.41,0 N
1006,726,2008,6,6A,Control,T. pratense,DW,37.9,377,0.000482,0.86,0 N
1008,837,2008,3,3A,Control,T. pratense,DW,44.6,261,0.000324,0.39,0 N
1013,180,2008,5,5A,Control,T. pratense,DW,43.1,388,4.22E-05,0.59,0 N
1021,758,2008,1,1A,Control,T. repens,JL,34.5,28,0.000392857,0.14,0 N
1033,636,2008,1,1A,Control,T. repens,DW,54.5,141,0.000294,1.08,0 N
1036,180,2008,5,5A,Control,T. repens,JL,42.4,280,0.000461,1.08,0 N
1039,837,2008,3,3A,Control,T. pratense,MH,50.3,138,0.000281,0.54,0 N
1041,726,2008,6,6A,Control,T. hybridum,MH,44.1,75,0.000461333,0.81,0 N
1053,493,2008,5,5A,Control,T. pratense,MH,42.8,147,0.000124,0.33,0 N
1060,627,2008,6,6A,Control,T. repens,MH,45.7,265,0.000233,0.8,0 N
1061,461,2008,2,2A,Control,T. repens,MH,53.5,67,0.000316418,NA,0 N
1062,415,2008,3,3A,Control,T. hybridum,JL,46.8,165,0.00019,0.91,0 N
1065,3,2008,6,6A,Control,T. pratense,MH,NA,0,NA,0.005,0 N
1084,636,2008,1,1A,Control,T. pratense,JL,45.5,198,7.90E-05,0.91,0 N
1087,100,2008,5,5A,Control,T. hybridum,JL,45.8,78,0.000491026,0.78,0 N
1093,50,2008,1,1A,Control,T. pratense,JL,47.3,191,1.00E-04,0.59,0 N
1097,145,2008,3,3A,Control,T. pratense,DW,34.5,154,0.00069703,0.42,0 N
1098,758,2008,1,1A,Control,T. repens,DW,41.7,402,0.00047549,1.18,0 N
1107,50,2008,1,1A,Control,T. hybridum,TS,25.9,174,0.000524,0.36,0 N
1112,160,2008,5,5A,Control,T. hybridum,MH,57,55,0.000772727,0.52,0 N
1114,180,2008,5,5A,Control,T. hybridum,JL,42.9,337,7.80E-05,0.72,0 N
1117,308,2008,6,6A,Control,T. pratense,JL,38.6,79,0.000210127,2.65,0 N
1124,493,2008,5,5A,Control,T. hybridum,DW,48.6,109,0.000456,0.39,0 N
1127,100,2008,5,5A,Control,T. hybridum,DW,47.4,122,0.000393,0.95,0 N
1129,325,2008,4,4A,Control,T. repens,TS,49.2,94,0.00047234,0.88,0 N
1130,110,2008,4,4A,Control,T. repens,MH,48.2,84,0.000265476,0.83,0 N
1131,318,2008,2,2A,Control,T. repens,DW,45.8,94,7.02E-05,0.64,0 N
1132,461,2008,2,2A,Control,T. pratense,DW,55,220,0.00029902,0.69,0 N
1135,415,2008,3,3A,Control,T. repens,JL,52.3,163,0.00049,1.32,0 N
1137,462,2008,5,5A,Control,T. repens,MH,48.8,135,0.000284,0.84,0 N
1138,74,2008,1,1A,Control,T. repens,JL,50.2,40,0.000275,0.87,0 N
1139,861,2008,5,5A,Control,T. hybridum,MH,45.5,330,5.80E-05,0.79,0 N
1140,228,2008,1,1A,Control,T. pratense,TS,52.6,78,0.000285897,0.73,0 N
22,762,2018,5,5N,Nitrogen,T. pratense,SJ,45.6,240,0.0739,0.1586,0 N
26,643,2018,2,2N,Nitrogen,T. pratense,CA,38.9,34,1.1174,0.1629,0 N
27,262,2018,2,2N,Nitrogen,T. repens,SJ,35.8,21,0.6582,0.1432,0 N
46,651,2018,6,6N,Nitrogen,T. hybridum,JL,19.5,8,0.0438,0.0325,0 N
57,381,2018,3,3N,Nitrogen,T. repens,TG,NA,13,0.0863,0.0044,0 N
59,40,2018,3,3N,Nitrogen,T. repens,JL,29.3,1,2.232,0.007,0 N
68,97,2018,1,1N,Nitrogen,T. hybridum,SJ,NA,10,0.064,0.0059,0 N
87,328,2018,2,2N,Nitrogen,T. pratense,MH,41,10,0.4799,0.2034,0 N
89,40,2018,3,3N,Nitrogen,T. repens,MH,29.8,5,0.4148,0.0097,0 N
91,596,2018,1,1N,Nitrogen,T. repens,SJ,40.2,4,0.7888,0.0973,0 N
97,209,2018,6,6N,Nitrogen,T. hybridum,TG,46.8,114,0.1133,0.2687,0 N
99,859,2018,4,4N,Nitrogen,T. repens,TG,40.8,179,0.2867,0.2142,0 N
103,773,2018,4,4N,Nitrogen,T. pratense,TG,31.9,20,0.3172,0.0157,0 N
107,116,2018,1,1N,Nitrogen,T. pratense,SJ,42,25,0.207,0.1394,0 N
117,651,2018,6,6N,Nitrogen,T. hybridum,SJ,37.3,9,0.2113,0.1804,0 N
124,328,2018,2,2N,Nitrogen,T. pratense,SJ,30.1,5,1.343,0.0385,0 N
154,156,2018,2,2N,Nitrogen,T. hybridum,CA,30.6,20,0.281,0.0233,0 N
164,762,2018,5,5N,Nitrogen,T. pratense,SJ,NA,39,0.0586,0.0143,0 N
166,596,2018,1,1N,Nitrogen,T. repens,MH,47.3,19,0.0738,0.13,0 N
173,475,2018,4,4N,Nitrogen,T. repens,SJ,36.4,18,0.2762,0.1133,0 N
180,527,2018,3,3N,Nitrogen,T. pratense,SJ,43.4,32,0.1876,0.086,0 N
189,16,2018,3,3N,Nitrogen,T. hybridum,JL,38.3,103,1.3818,0.1275,0 N
194,796,2018,2,2N,Nitrogen,T. hybridum,JL,18.2,28,0.1538,0.0229,0 N
224,538,2018,1,1N,Nitrogen,T. hybridum,MH,45.2,18,0.5412,0.0945,0 N
228,56,2018,5,5N,Nitrogen,T. repens,SJ,45.8,12,0.8385,0.1151,0 N
229,538,2018,1,1N,Nitrogen,T. hybridum,SJ,42.4,6,0.1032,0.2692,0 N
256,717,2018,6,6N,Nitrogen,T. pratense,MH,43.3,40,0.4926,0.0544,0 N
275,717,2018,6,6N,Nitrogen,T. pratense,SJ,45.4,8,0.6057,0.1244,0 N
278,596,2018,1,1N,Nitrogen,T. repens,SJ,49.7,23,0.1483,0.2674,0 N
298,859,2018,4,4N,Nitrogen,T. repens,MH,19,25,0.0378,0.0045,0 N
302,762,2018,5,5N,Nitrogen,T. pratense,MH,29.3,150,0.0333,0.2564,0 N
331,156,2018,2,2N,Nitrogen,T. hybridum,CA,39.2,8,0.5004,0.0238,0 N
332,596,2018,1,1N,Nitrogen,T. repens,SJ,46.8,13,0.5357,0.2519,0 N
363,773,2018,4,4N,Nitrogen,T. pratense,TG,45.5,63,0.1522,0.1613,0 N
374,796,2018,2,2N,Nitrogen,T. hybridum,TG,14.4,75,0.1499,0.0169,0 N
384,97,2018,1,1N,Nitrogen,T. hybridum,MJH,21.6,40,0.1736,0.0312,0 N
392,538,2018,1,1N,Nitrogen,T. hybridum,TG,41.9,17,0.219,0.1642,0 N
397,773,2018,4,4N,Nitrogen,T. pratense,SJ,NA,2,1.428,0.0117,0 N
399,381,2018,3,3N,Nitrogen,T. repens,TG,33.9,17,0.9678,0.0394,0 N
403,56,2018,5,5N,Nitrogen,T. repens,TG,43.9,22,2.1319,0.1499,0 N
414,328,2018,2,2N,Nitrogen,T. pratense,TG,37.3,17,1.7586,0.0549,0 N
426,527,2018,3,3N,Nitrogen,T. pratense,JL,40.9,70,0.5369,0.1695,0 N
430,643,2018,2,2N,Nitrogen,T. pratense,JL,32.1,10,0.8133,0.0212,0 N
440,475,2018,4,4N,Nitrogen,T. repens,CA,33.6,25,0.425,0.221,0 N
446,156,2018,2,2N,Nitrogen,T. hybridum,JL,37,35,0.2263,0.1673,0 N
454,156,2018,2,2N,Nitrogen,T. hybridum,CA,45.5,102,0.2761,0.3045,0 N
456,643,2018,2,2N,Nitrogen,T. pratense,JL,33.1,57,0.6025,0.1799,0 N
464,577,2018,3,3N,Nitrogen,T. hybridum,JL,38.5,8,1.0354,0.1013,0 N
471,328,2018,2,2N,Nitrogen,T. pratense,SJ,42.5,1,2.496,0.0466,0 N
489,643,2018,2,2N,Nitrogen,T. pratense,JL,33.6,10,1.1033,0.0266,0 N
496,61,2018,5,5N,Nitrogen,T. pratense,JL,38.6,42,1.1976,0.0984,0 N
517,699,2018,5,5N,Nitrogen,T. repens,JL,44.4,78,0.0364,0.2608,0 N
520,40,2018,3,3N,Nitrogen,T. repens,JL,47.5,15,3.2645,0.2394,0 N
521,773,2018,4,4N,Nitrogen,T. pratense,TG,44.4,53,1.4053,0.1095,0 N
527,61,2018,5,5N,Nitrogen,T. pratense,SJ,37.6,4,2.8958,0.1128,0 N
536,596,2018,1,1N,Nitrogen,T. repens,CA,37.8,26,0.4453,0.2203,0 N
549,511,2018,3,3N,Nitrogen,T. pratense,MH,27.6,150,0.0405,0.2086,0 N
561,56,2018,5,5N,Nitrogen,T. repens,MH,38.6,6,0.2227,0.0695,0 N
568,262,2018,2,2N,Nitrogen,T. repens,JL,40.5,12,0.6828,0.031,0 N
585,538,2018,1,1N,Nitrogen,T. hybridum,JL,47.1,6,1.6592,0.1634,0 N
589,209,2018,6,6N,Nitrogen,T. hybridum,JL,22.2,100,0.4205,0.2236,0 N
604,40,2018,3,3N,Nitrogen,T. repens,JL,NA,11,2.4027,0.2289,0 N
