plant,strain,dataset_year,field,plot,nitrogen,plantsp,harvester,chloro,nodnum,meannodweight,shootmass,fert
1212,344,2008,6,6A,Control,T. hybridum,MH,40.1,201,0.000102,0.72,0 N
1213,499,2008,3,3A,Control,T. repens,JL,54.3,102,0.000202941,0.86,0 N
1214,108,2008,3,3A,Control,T. hybridum,DW,48.8,259,NA,1.21,0 N
1219,173,2008,2,2A,Control,T. pratense,JL,37.9,293,0.000489,0.6,0 N
1220,74,2008,1,1A,Control,T. repens,JL,49.4,68,0.000539706,0.84,0 N
1222,462,2008,5,5A,Control,T. repens,DW,51.9,241,0.000135,1.05,0 N
1223,100,2008,5,5A,Control,T. repens,DW,15.6,1557,0.000156863,0.38,0 N
1224,344,2008,6,6A,Control,T. pratense,DW,39.4,554,0.000166,0.64,0 N
1225,110,2008,4,4A,Control,T. pratense,JL,47.7,162,0.000227,0.86,0 N
1226,110,2008,4,4A,Control,T. pratense,JL,42.8,91,0.000392308,0.61,0 N
1227,706,2008,4,4A,Control,T. hybridum,JL,58.2,63,0.000233333,0.51,0 N
1228,325,2008,4,4A,Control,T. pratense,TS,45.2,457,0.000352,0.81,0 N
1231,438,2008,4,4A,Control,T. pratense,JL,49.2,76,0.000134211,0.54,0 N
1232,108,2008,3,3A,Control,T. pratense,JL,33.5,131,0.000342748,0.46,0 N
1233,627,2008,6,6A,Control,T. repens,TS,36.8,90,0.000124444,0.81,0 N
1234,901,2008,2,2A,Control,T. pratense,MH,38.7,287,0.000181818,0.52,0 N
1235,173,2008,2,2A,Control,T. repens,JL,43.3,228,0.000415,1.02,0 N
1238,559,2008,4,4A,Control,T. repens,DW,46,125,0.000366,0.59,0 N
1239,861,2008,5,5A,Control,T. repens,JL,57.7,32,0.00100625,0.83,0 N
1241,460,2008,3,3A,Control,T. hybridum,JL,40.8,360,0.00019,0.29,0 N
1242,318,2008,2,2A,Control,T. hybridum,JL,47.4,126,0.000218519,0.52,0 N
1243,108,2008,3,3A,Control,T. pratense,JL,50,294,0.00202,0.97,0 N
1244,318,2008,2,2A,Control,T. pratense,TS,55.4,125,0.00054,1.19,0 N
1248,145,2008,3,3A,Control,T. repens,JL,40,60,0.000278333,0.43,0 N
1249,901,2008,2,2A,Control,T. hybridum,TS,37.7,82,0.000239024,0.23,0 N
1250,415,2008,3,3A,Control,T. repens,TS,41.8,66,0.000371212,0.37,0 N
1252,901,2008,2,2A,Control,T. hybridum,JL,29.4,170,2.00E-04,0.31,0 N
1253,3,2008,6,6A,Control,T. hybridum,JL,11.9,18,0.001111111,0.14,0 N
1256,173,2008,2,2A,Control,T. pratense,TS,45.6,156,NA,0.69,0 N
1258,160,2008,5,5A,Control,T. pratense,JL,43.3,71,0.000207042,0.94,0 N
1259,837,2008,3,3A,Control,T. repens,JL,35.8,75,0.000406667,0.36,0 N
1261,462,2008,5,5A,Control,T. hybridum,JL,51.1,99,0.00019899,0.45,0 N
1263,449,2008,2,2A,Control,T. hybridum,DW,15.1,324,0.000152475,0.08,0 N
1264,180,2008,5,5A,Control,T. repens,DW,38.9,210,0.000191176,0.53,0 N
1266,706,2008,4,4A,Control,T. pratense,DW,48.7,484,0.000110891,0.87,0 N
1269,460,2008,3,3A,Control,T. repens,MH,46,258,9.41E-05,0.61,0 N
1270,901,2008,2,2A,Control,T. repens,MH,34.5,255,7.54E-05,0.47,0 N
1271,3,2008,6,6A,Control,T. hybridum,MH,48.5,130,0.000145,0.31,0 N
1272,499,2008,3,3A,Control,T. hybridum,JL,36,34,0.000397059,0.35,0 N
1273,729,2008,1,1A,Control,T. hybridum,JL,21.1,80,8.88E-05,0.06,0 N
1275,493,2008,5,5A,Control,T. hybridum,MH,46.5,65,0.000412308,0.37,0 N
1278,462,2008,5,5A,Control,T. hybridum,JL,43.2,55,0.000396364,0.48,0 N
1281,493,2008,5,5A,Control,T. hybridum,MH,NA,15,6.67E-05,0.02,0 N
1286,499,2008,3,3A,Control,T. repens,MH,53.2,119,0.000257983,0.54,0 N
1287,726,2008,6,6A,Control,T. repens,DW,39.2,116,0.000177586,0.76,0 N
1288,462,2008,5,5A,Control,T. pratense,MH,36.6,88,0.000188636,0.5,0 N
1290,228,2008,1,1A,Control,T. hybridum,DW,25,0,NA,0.21,0 N
1292,460,2008,3,3A,Control,T. repens,DW,44.1,91,0.000394505,0.81,0 N
1296,861,2008,5,5A,Control,T. hybridum,TS,42.3,137,0.000322,0.57,0 N
1298,499,2008,3,3A,Control,T. pratense,DW,45,232,0.000104959,1.03,0 N
1299,228,2008,1,1A,Control,T. hybridum,DW,41.3,203,4.65E-05,0.46,0 N
1300,160,2008,5,5A,Control,T. pratense,DW,53.5,175,9.80E-05,1.28,0 N
1301,145,2008,3,3A,Control,T. repens,DW,42,138,0.000155,0.87,0 N
1302,308,2008,6,6A,Control,T. hybridum,DW,43.1,477,9.81E-05,0.67,0 N
1303,3,2008,6,6A,Control,T. repens,DW,49.6,50,0.000248,0.84,0 N
1304,228,2008,1,1A,Control,T. pratense,DW,28.5,357,0.000192593,0.42,0 N
1305,729,2008,1,1A,Control,T. repens,DW,47.6,132,8.70E-05,0.97,0 N
1306,113,2008,6,6A,Control,T. hybridum,DW,42.3,327,0.000147115,0.33,0 N
1308,438,2008,4,4A,Control,T. pratense,AC,33.8,310,0.000523,0.52,0 N
1309,108,2008,3,3A,Control,T. repens,DW,43.6,76,0.000134211,0.5,0 N
1312,499,2008,3,3A,Control,T. pratense,DW,49.1,186,0.000196154,0.58,0 N
1315,861,2008,5,5A,Control,T. pratense,DW,48.7,288,9.42E-05,0.94,0 N
1318,74,2008,1,1A,Control,T. hybridum,DW,38.4,104,0.000290385,0.52,0 N
1320,180,2008,5,5A,Control,T. repens,MH,29.9,469,7.77E-05,1.09,0 N
1322,180,2008,5,5A,Control,T. pratense,MH,41.1,217,0.00019469,0.48,0 N
1323,3,2008,6,6A,Control,T. repens,MH,32.3,66,0.00059697,0.24,0 N
1324,861,2008,5,5A,Control,T. repens,DW,44.1,131,0.00015,0.72,0 N
1327,308,2008,6,6A,Control,T. hybridum,JL,20.2,267,0.000116,0.37,0 N
1328,344,2008,6,6A,Control,T. repens,TS,46.4,142,0.000331,0.62,0 N
1329,438,2008,4,4A,Control,T. hybridum,MH,NA,121,0.00011157,0.03,0 N
1330,706,2008,4,4A,Control,T. hybridum,TS,40.7,151,0.000596,0.5,0 N
1331,460,2008,3,3A,Control,T. repens,MH,48.7,67,0.000150746,0.78,0 N
1332,726,2008,6,6A,Control,T. hybridum,MH,37.3,200,0.000154,0.49,0 N
1333,627,2008,6,6A,Control,T. pratense,TS,43.6,134,0.000414,0.82,0 N
1337,108,2008,3,3A,Control,T. pratense,DW,47.4,451,0.000175472,1.15,0 N
1338,145,2008,3,3A,Control,T. pratense,DW,28.2,52,0.00055,0.11,0 N
1341,318,2008,2,2A,Control,T. hybridum,JL,48.1,129,0.00027,0.97,0 N
1344,462,2008,5,5A,Control,T. hybridum,DW,40.9,82,0.000347561,0.48,0 N
1346,415,2008,3,3A,Control,T. repens,JL,51.4,162,0.000291,1.16,0 N
1350,627,2008,6,6A,Control,T. pratense,TS,46.2,267,0.000214,0.78,0 N
1352,145,2008,3,3A,Control,T. pratense,DW,47.2,104,0.000949038,0.34,0 N
1353,460,2008,3,3A,Control,T. hybridum,JL,44.2,108,0.000174,0.7,0 N
1356,462,2008,5,5A,Control,T. pratense,JL,46.2,145,0.000226,0.79,0 N
1357,559,2008,4,4A,Control,T. pratense,JL,34.1,79,0.00114557,1.02,0 N
1358,461,2008,2,2A,Control,T. repens,TS,41.3,230,0.000775,1.17,0 N
1361,228,2008,1,1A,Control,T. pratense,DW,45.9,164,0.000375238,0.83,0 N
1362,726,2008,6,6A,Control,T. hybridum,JL,48.3,220,0.00015,0.99,0 N
1364,173,2008,2,2A,Control,T. pratense,KK,38.5,142,0.000185915,0.63,0 N
1366,145,2008,3,3A,Control,T. hybridum,DW,22.6,113,0.000739806,0.27,0 N
1369,160,2008,5,5A,Control,T. repens,JL,39,137,0.000361,0.51,0 N
1373,110,2008,4,4A,Control,T. hybridum,MH,47.3,75,0.000192,0.96,0 N
1375,325,2008,4,4A,Control,T. hybridum,MH,39.9,460,9.50E-05,0.3,0 N
1376,308,2008,6,6A,Control,T. pratense,JL,44.1,59,0.00029661,0.54,0 N
1378,559,2008,4,4A,Control,T. pratense,MH,50.4,69,0.000756522,0.77,0 N
1380,461,2008,2,2A,Control,T. hybridum,TB,46.1,140,0.000249,0.98,0 N
1385,228,2008,1,1A,Control,T. pratense,TB,47.8,125,0.0001576,1.36,0 N
1386,415,2008,3,3A,Control,T. hybridum,DW,26.1,577,8.00E-06,0.21,0 N
1387,758,2008,1,1A,Control,T. pratense,DW,39.2,353,0.000113881,0.57,0 N
1389,493,2008,5,5A,Control,T. hybridum,DW,27.2,117,0.000219658,0.35,0 N
1391,415,2008,3,3A,Control,T. pratense,TS,35.3,241,0.000466,0.58,0 N
1392,627,2008,6,6A,Control,T. repens,KK,44.9,126,0.000115079,0.96,0 N
1394,113,2008,6,6A,Control,T. hybridum,DW,40.8,378,0.000168,0.65,0 N
1395,415,2008,3,3A,Control,T. pratense,DW,49.5,177,0.000334,0.49,0 N
1397,160,2008,5,5A,Control,T. pratense,TB,43.9,89,7.98E-05,0.51,0 N
1399,308,2008,6,6A,Control,T. hybridum,DW,39,343,0.000187129,0.39,0 N
1400,325,2008,4,4A,Control,T. repens,DW,54.8,317,0.000205941,1.23,0 N
1401,901,2008,2,2A,Control,T. hybridum,DW,47,456,0.000252174,0.41,0 N
1402,180,2008,5,5A,Control,T. hybridum,DW,33.8,1109,8.28E-05,0.48,0 N
1403,499,2008,3,3A,Control,T. hybridum,DW,50.8,42,0.001111905,0.5,0 N
1404,706,2008,4,4A,Control,T. hybridum,JL,47.4,72,0.000251389,0.76,0 N
1406,460,2008,3,3A,Control,T. pratense,JL,41.1,77,0.000145455,0.66,0 N
1408,559,2008,4,4A,Control,T. repens,JL,22.7,42,0.000502381,0.9,0 N
1409,462,2008,5,5A,Control,T. hybridum,TS,44.8,111,0.00012,0.67,0 N
1411,108,2008,3,3A,Control,T. repens,JL,39.8,230,NA,0.9,0 N
1412,50,2008,1,1A,Control,T. repens,JL,40.4,102,0.000151961,0.43,0 N
1413,180,2008,5,5A,Control,T. hybridum,JL,12.7,185,0.00034,0.22,0 N
1415,726,2008,6,6A,Control,T. hybridum,DW,46.6,71,0.000308451,0.71,0 N
1416,559,2008,4,4A,Control,T. repens,TS,39.6,234,0.000524,0.74,0 N
1418,180,2008,5,5A,Control,T. hybridum,JL,36.7,310,0.00019,0.4,0 N
1419,636,2008,1,1A,Control,T. hybridum,JL,45.4,95,0.000115789,0.75,0 N
1421,493,2008,5,5A,Control,T. pratense,DW,52.8,194,0.000190196,0.66,0 N
1422,113,2008,6,6A,Control,T. pratense,DW,47.9,449,8.82E-05,1.08,0 N
1424,308,2008,6,6A,Control,T. hybridum,DW,33.2,739,3.50E-05,0.72,0 N
1426,160,2008,5,5A,Control,T. repens,MH,34.9,175,4.50E-05,0.41,0 N
1428,344,2008,6,6A,Control,T. repens,DW,46.2,137,0.000161386,1.17,0 N
1431,100,2008,5,5A,Control,T. hybridum,DW,44.5,330,5.40E-05,0.99,0 N
1433,100,2008,5,5A,Control,T. hybridum,JL,30.9,51,0.000119608,0.07,0 N
1438,113,2008,6,6A,Control,T. repens,NA,43.8,153,0.00018,0.82,0 N
1439,344,2008,6,6A,Control,T. pratense,RP,52.5,379,5.98E-05,0.97,0 N
1442,415,2008,3,3A,Control,T. pratense,KK,30,256,9.10E-05,0.14,0 N
1446,861,2008,5,5A,Control,T. repens,NA,42.6,86,0.000223256,0.32,0 N
1447,462,2008,5,5A,Control,T. hybridum,JL,44.6,4,5.00E-05,0.76,0 N
1153,796,2008,2,2B,Nitrogen,T. hybridum,JL,3.9,95,7.37E-05,0.04,Fertilized
1155,97,2008,1,1B,Nitrogen,T. hybridum,DW,45.4,708,1.73E-05,0.56,Fertilized
1156,209,2008,6,6B,Nitrogen,T. hybridum,NA,40.5,217,4.84E-05,0.67,Fertilized
1157,475,2008,4,4B,Nitrogen,T. hybridum,JL,10.2,28,2.14E-05,0.05,Fertilized
1159,527,2008,3,3B,Nitrogen,T. repens,TS,54.3,74,0.00027973,NA,Fertilized
1160,538,2008,1,1B,Nitrogen,T. pratense,MH,44,220,8.40E-05,0.49,Fertilized
1163,511,2008,3,3B,Nitrogen,T. hybridum,MH,15.8,220,1.60E-05,0.06,Fertilized
1167,717,2008,6,6B,Nitrogen,T. repens,JL,46.9,204,0.000244,0.62,Fertilized
1168,699,2008,5,5B,Nitrogen,T. repens,MH,22.7,700,5.30E-05,0.13,Fertilized
1170,328,2008,2,2B,Nitrogen,T. repens,JL,48,227,0.000175,0.87,Fertilized
1171,717,2008,6,6B,Nitrogen,T. pratense,JL,33.3,163,0.000214,0.54,Fertilized
1173,527,2008,3,3B,Nitrogen,T. pratense,NA,37.2,590,0.000144,0.85,Fertilized
1174,97,2008,1,1B,Nitrogen,T. repens,DW,41.1,34,0.000582353,0.64,Fertilized
1175,527,2008,3,3B,Nitrogen,T. hybridum,DW,38.4,415,3.76E-05,0.46,Fertilized
1176,328,2008,2,2B,Nitrogen,T. pratense,JL,50.2,135,0.000355,1.01,Fertilized
1180,651,2008,6,6B,Nitrogen,T. hybridum,NA,13.6,191,6.20E-05,0.09,Fertilized
1183,116,2008,1,1B,Nitrogen,T. repens,JL,41.9,90,0.000767778,0.73,Fertilized
1185,478,2008,2,2B,Nitrogen,T. hybridum,JL,3.9,25,0.000112,0.12,Fertilized
1188,478,2008,2,2B,Nitrogen,T. hybridum,JL,21.9,434,8.17E-05,0.32,Fertilized
1191,328,2008,2,2B,Nitrogen,T. pratense,DW,31.3,127,0.000533663,0.48,Fertilized
1192,538,2008,1,1B,Nitrogen,T. hybridum,DW,43.6,330,0.000133,0.77,Fertilized
1196,762,2008,5,5B,Nitrogen,T. hybridum,DW,44.2,405,0.000141,0.94,Fertilized
1200,156,2008,2,2B,Nitrogen,T. repens,DW,51.5,143,0.000315,0.92,Fertilized
1202,381,2008,3,3B,Nitrogen,T. pratense,JL,29.5,310,0.000331,0.86,Fertilized
1203,538,2008,1,1B,Nitrogen,T. repens,DW,53.2,171,NA,1.11,Fertilized
1204,231,2008,6,6B,Nitrogen,T. pratense,DW,44.3,518,NA,1.06,Fertilized
1210,97,2008,1,1B,Nitrogen,T. pratense,MH,38.2,658,0.000156481,0.93,Fertilized
1215,498,2008,5,5B,Nitrogen,T. repens,DW,15.8,1105,8.17E-05,0.15,Fertilized
1216,577,2008,3,3B,Nitrogen,T. repens,DW,48.3,190,0.000268317,0.78,Fertilized
1217,156,2008,2,2B,Nitrogen,T. pratense,DW,51.4,192,0.000568807,1.06,Fertilized
1218,699,2008,5,5B,Nitrogen,T. hybridum,MH,28.2,400,1.40E-05,0.135,Fertilized
1221,651,2008,6,6B,Nitrogen,T. pratense,DW,36.4,710,0.000257,0.6,Fertilized
1229,859,2008,4,4B,Nitrogen,T. hybridum,TS,32.1,416,0.000328,0.14,Fertilized
1230,596,2008,1,1B,Nitrogen,T. hybridum,JL,41.9,84,0.000141667,1.04,Fertilized
1236,381,2008,3,3B,Nitrogen,T. pratense,JL,41.8,166,0.000288,1.06,Fertilized
1237,651,2008,6,6B,Nitrogen,T. hybridum,JL,31.1,830,6.10E-05,0.56,Fertilized
1240,538,2008,1,1B,Nitrogen,T. hybridum,JL,49.6,51,0.000233333,0.32,Fertilized
1245,231,2008,6,6B,Nitrogen,T. hybridum,TS,43.3,176,0.000117,0.99,Fertilized
1246,116,2008,1,1B,Nitrogen,T. repens,JL,35.6,82,0.000189024,0.32,Fertilized
1247,577,2008,3,3B,Nitrogen,T. pratense,JL,37.8,278,0.000259,0.34,Fertilized
1251,478,2008,2,2B,Nitrogen,T. pratense,JL,33.3,203,0.000246,0.36,Fertilized
1254,328,2008,2,2B,Nitrogen,T. hybridum,JL,49.1,54,0.000261111,0.43,Fertilized
1255,527,2008,3,3B,Nitrogen,T. pratense,JL,47.8,54,0.000453704,0.6,Fertilized
1257,328,2008,2,2B,Nitrogen,T. pratense,TS,55.1,69,0.000475362,0.62,Fertilized
1260,859,2008,4,4B,Nitrogen,T. pratense,JL,23.7,182,0.003,0.09,Fertilized
1262,116,2008,1,1B,Nitrogen,T. hybridum,JL,36.3,117,0.000285,0.81,Fertilized
1265,328,2008,2,2B,Nitrogen,T. repens,DW,25.7,144,0.000147619,0.59,Fertilized
1267,651,2008,6,6B,Nitrogen,T. hybridum,DW,20.5,812,3.17E-05,0.11,Fertilized
1268,156,2008,2,2B,Nitrogen,T. hybridum,JL,37.3,133,0.000343609,0.51,Fertilized
1276,40,2008,3,3B,Nitrogen,T. hybridum,MH,22.5,27,0.001518519,0.08,Fertilized
1277,262,2008,2,2B,Nitrogen,T. hybridum,MH,17.5,550,2.20E-05,0.12,Fertilized
1279,596,2008,1,1B,Nitrogen,T. hybridum,JL,47.6,46,0.000452174,0.49,Fertilized
1280,56,2008,5,5B,Nitrogen,T. pratense,TS,48.4,142,0.000211,NA,Fertilized
1283,717,2008,6,6B,Nitrogen,T. repens,TS,31.6,63,0.000222222,0.24,Fertilized
1284,478,2008,2,2B,Nitrogen,T. pratense,JL,43.1,75,0.000305333,0.3,Fertilized
1285,209,2008,6,6B,Nitrogen,T. hybridum,JL,37.3,217,0.000295,0.65,Fertilized
1289,16,2008,3,3B,Nitrogen,T. repens,TS,56.7,303,0.000251,0.59,Fertilized
1291,156,2008,2,2B,Nitrogen,T. hybridum,MH,39.4,320,0.000185714,0.84,Fertilized
1293,773,2008,4,4B,Nitrogen,T. pratense,TS,46.8,158,0.000749,0.67,Fertilized
1294,527,2008,3,3B,Nitrogen,T. hybridum,AC,32.6,497,0.00016,0.71,Fertilized
1295,116,2008,1,1B,Nitrogen,T. pratense,DW,46.8,245,0.000269307,0.73,Fertilized
1297,717,2008,6,6B,Nitrogen,T. hybridum,DW,44.9,267,6.76E-05,0.75,Fertilized
1307,596,2008,1,1B,Nitrogen,T. pratense,DW,39.4,184,0.000171845,0.44,Fertilized
1310,478,2008,2,2B,Nitrogen,T. hybridum,DW,22.4,584,1.49E-05,0.27,Fertilized
1311,40,2008,3,3B,Nitrogen,T. repens,DW,45.4,182,0.000563107,0.55,Fertilized
1313,16,2008,3,3B,Nitrogen,T. hybridum,DW,38,461,9.81E-05,0.37,Fertilized
1314,475,2008,4,4B,Nitrogen,T. hybridum,DW,25,164,0.00026,0.12,Fertilized
1316,773,2008,4,4B,Nitrogen,T. repens,DW,32.1,134,0.000545,0.74,Fertilized
1317,56,2008,5,5B,Nitrogen,T. pratense,MH,34.5,124,0.000283,0.49,Fertilized
1319,262,2008,2,2B,Nitrogen,T. pratense,JL,48.3,178,0.000251,1.43,Fertilized
1321,511,2008,3,3B,Nitrogen,T. pratense,MH,30.3,96,0.000136842,0.28,Fertilized
1325,475,2008,4,4B,Nitrogen,T. repens,DW,47.1,174,0.000258333,0.79,Fertilized
1326,381,2008,3,3B,Nitrogen,T. repens,JL,48,93,0.000253763,0.4,Fertilized
1334,328,2008,2,2B,Nitrogen,T. hybridum,TS,47.7,32,0.0020875,0.56,Fertilized
1335,156,2008,2,2B,Nitrogen,T. repens,TS,37.6,269,0.00044,0.77,Fertilized
1336,762,2008,5,5B,Nitrogen,T. repens,MH,36.6,186,8.82E-05,0.52,Fertilized
1339,475,2008,4,4B,Nitrogen,T. hybridum,DW,43.9,326,3.63E-05,0.51,Fertilized
1340,596,2008,1,1B,Nitrogen,T. repens,DW,36.2,212,0.000291,0.81,Fertilized
1342,478,2008,2,2B,Nitrogen,T. repens,JL,38.7,100,0.00049,0.76,Fertilized
1343,262,2008,2,2B,Nitrogen,T. hybridum,DW,NA,18,1.11E-05,0.005,Fertilized
1345,116,2008,1,1B,Nitrogen,T. hybridum,DW,45.9,122,0.000226,0.7,Fertilized
1347,577,2008,3,3B,Nitrogen,T. hybridum,JL,16,19,0.000273684,0.09,Fertilized
1349,40,2008,3,3B,Nitrogen,T. repens,JL,31,2,0.00215,0.05,Fertilized
1351,262,2008,2,2B,Nitrogen,T. pratense,DW,14.2,241,0.000174257,0.15,Fertilized
1354,328,2008,2,2B,Nitrogen,T. repens,JL,40.4,75,0.000393333,1,Fertilized
1355,328,2008,2,2B,Nitrogen,T. hybridum,JL,43.7,140,0.000305,0.79,Fertilized
1359,577,2008,3,3B,Nitrogen,T. repens,DW,36.3,90,0.000837778,1.12,Fertilized
1360,475,2008,4,4B,Nitrogen,T. pratense,DW,40.3,228,0.000327,1.39,Fertilized
1365,97,2008,1,1B,Nitrogen,T. pratense,TS,33.5,397,7.70E-05,0.3,Fertilized
1367,796,2008,2,2B,Nitrogen,T. repens,MH,44.8,68,0.000425,0.68,Fertilized
1368,773,2008,4,4B,Nitrogen,T. hybridum,KK,6.1,NA,9.23E-05,0.1,Fertilized
1370,16,2008,3,3B,Nitrogen,T. repens,TS,40.6,446,0.000593,0.78,Fertilized
1371,475,2008,4,4B,Nitrogen,T. pratense,DW,36.6,599,6.83E-05,0.44,Fertilized
1372,231,2008,6,6B,Nitrogen,T. pratense,MH,46.6,182,0.00010396,0.49,Fertilized
1374,796,2008,2,2B,Nitrogen,T. hybridum,JL,9.7,70,5.71E-05,0.07,Fertilized
1377,538,2008,1,1B,Nitrogen,T. hybridum,DW,37.2,151,0.000265049,0.37,Fertilized
1379,116,2008,1,1B,Nitrogen,T. repens,JL,45.8,125,0.000358,0.76,Fertilized
1381,16,2008,3,3B,Nitrogen,T. pratense,TB,30.9,354,0.000209901,0.54,Fertilized
1382,596,2008,1,1B,Nitrogen,T. repens,TB,32.4,96,2.50E-05,0.52,Fertilized
1383,231,2008,6,6B,Nitrogen,T. repens,TS,36.4,83,0.000222892,0.7,Fertilized
1384,773,2008,4,4B,Nitrogen,T. hybridum,TS,41.1,327,0.000931,0.42,Fertilized
1388,40,2008,3,3B,Nitrogen,T. repens,DW,49.3,62,0.00023871,0.61,Fertilized
1390,699,2008,5,5B,Nitrogen,T. pratense,TB,9.8,715,1.91E-05,0.15,Fertilized
1393,511,2008,3,3B,Nitrogen,T. pratense,KK,51,234,2.78E-05,0.7,Fertilized
1396,651,2008,6,6B,Nitrogen,T. hybridum,TS,25.7,307,0.000307,0.18,Fertilized
1398,498,2008,5,5B,Nitrogen,T. pratense,TB,19.2,451,3.37E-05,0.14,Fertilized
1405,40,2008,3,3B,Nitrogen,T. pratense,JL,31.5,231,0.000583,0.6,Fertilized
1407,796,2008,2,2B,Nitrogen,T. hybridum,JL,11.1,270,9.10E-05,0.19,Fertilized
1410,643,2008,2,2B,Nitrogen,T. repens,JL,50.3,66,0.000610606,0.66,Fertilized
1414,116,2008,1,1B,Nitrogen,T. pratense,JL,46.3,112,0.000195536,0.45,Fertilized
1417,699,2008,5,5B,Nitrogen,T. pratense,DW,23.7,275,9.90E-05,0.06,Fertilized
1420,796,2008,2,2B,Nitrogen,T. hybridum,DW,29,1371,0.000132,0.35,Fertilized
1423,538,2008,1,1B,Nitrogen,T. pratense,TS,45.4,113,0.000345,0.7,Fertilized
1425,231,2008,6,6B,Nitrogen,T. hybridum,NA,35.1,222,8.60E-05,0.21,Fertilized
1427,527,2008,3,3B,Nitrogen,T. hybridum,DW,45.1,143,6.67E-05,0.55,Fertilized
1429,498,2008,5,5B,Nitrogen,T. hybridum,DW,14.9,240,2.40E-05,0.04,Fertilized
1430,475,2008,4,4B,Nitrogen,T. hybridum,RP,NA,38,5.00E-05,0.18,Fertilized
1432,328,2008,2,2B,Nitrogen,T. hybridum,NA,49,54,0.000457407,0.74,Fertilized
1434,97,2008,1,1B,Nitrogen,T. hybridum,KK,24.1,358,2.50E-05,0.09,Fertilized
1435,651,2008,6,6B,Nitrogen,T. repens,NA,40.1,9,6.67E-05,0.69,Fertilized
1437,859,2008,4,4B,Nitrogen,T. pratense,JL,49.2,32,0.00011875,0.9,Fertilized
1440,577,2008,3,3B,Nitrogen,T. repens,MH,43.5,124,0.000206,0.81,Fertilized
1441,699,2008,5,5B,Nitrogen,T. repens,JL,23.4,410,0.000147,0.24,Fertilized
1443,511,2008,3,3B,Nitrogen,T. hybridum,KK,41.2,771,0.000168,0.35,Fertilized
1444,796,2008,2,2B,Nitrogen,T. hybridum,NA,31.7,729,5.30E-05,0.61,Fertilized
1445,762,2008,5,5B,Nitrogen,T. pratense,NA,27.8,167,0.000152,0.18,Fertilized